sample_id,Proceso electoral y pluralismo,Funcionamiento del gobierno,Participación política,Cultura política,Libertades civiles,overall_score,data_status
129,8.786393386936217,5.9986283829051255,4.910670160793553,3.4688502710740563,6.23545779829105,5.880000000000001,modeled_latent_ensemble
130,8.797542836152216,5.889277459357026,4.796334410708657,3.5550095400720205,6.361835753710083,5.880000000000001,modeled_latent_ensemble
131,9.034918116056602,6.060252317822047,5.064119878629993,2.5624574414013903,6.678252246089969,5.88,modeled_latent_ensemble
132,8.938380826925247,5.903447824932924,5.306007803285658,2.7703825406093427,6.481781004246829,5.880000000000001,modeled_latent_ensemble
133,8.852517392244534,6.016253244026749,5.052478189804,3.187053209320038,6.291697964604681,5.88,modeled_latent_ensemble
134,8.860797519650369,6.021825095135771,5.048607401063132,3.063291368013007,6.405478616137723,5.880000000000001,modeled_latent_ensemble
135,8.7371445813937,5.919680889962414,5.045800861881073,3.516782664146612,6.180591002616201,5.88,modeled_latent_ensemble
136,8.772109448883525,6.038179335281778,4.942662486583806,3.1455213493767133,6.5015273798741795,5.880000000000001,modeled_latent_ensemble
137,8.934014656502269,5.975111504789842,5.062584905376995,2.94831525326046,6.479973680070436,5.880000000000001,modeled_latent_ensemble
138,8.95191654319013,6.079039002225219,5.258290883565216,2.5069284581575166,6.6038251128619185,5.880000000000001,modeled_latent_ensemble
139,8.945664121934998,5.952420645103418,5.257393120362009,2.783261739139957,6.46126037345962,5.88,modeled_latent_ensemble
140,9.024298757286834,6.0690631369849255,5.239928531578328,2.6402759034554055,6.426433670694508,5.88,modeled_latent_ensemble
141,8.935255550497875,5.886763817684619,4.954373421211677,3.23611652010004,6.38749069050579,5.88,modeled_latent_ensemble
142,8.820907074524149,6.013428446223007,5.180171282613351,2.9802428100849547,6.405250386554538,5.880000000000001,modeled_latent_ensemble
143,8.945780069214784,6.024888887078194,5.005804589622421,3.0364112402868053,6.387115213797798,5.880000000000001,modeled_latent_ensemble
144,8.986695863582838,5.968362131436149,5.164135217436233,3.0063488524644337,6.274457935080347,5.88,modeled_latent_ensemble
145,8.933063979680524,6.134632213870659,4.962982327266818,2.7405781454941467,6.628743333687853,5.880000000000001,modeled_latent_ensemble
146,9.020952277047666,6.053332800820762,5.165580539525902,2.8015553439854766,6.358579038620196,5.880000000000001,modeled_latent_ensemble
147,8.943838418896613,6.076212870386375,5.117852392267639,2.9403781330557286,6.321718185393645,5.880000000000001,modeled_latent_ensemble
148,8.893584553356472,5.920905033186321,4.98984035084883,3.164345202996048,6.43132485961233,5.88,modeled_latent_ensemble
149,8.866590808322146,6.074835298310785,5.148645438478179,3.0316587892578837,6.278269665631006,5.88,modeled_latent_ensemble
150,8.979305860989072,6.077567048887419,5.093673635895702,2.6898381397284936,6.559615314499315,5.880000000000001,modeled_latent_ensemble
151,8.914670285647281,6.03627471834993,5.266334773005884,2.7113703825571602,6.4713498404397445,5.88,modeled_latent_ensemble
152,8.808960045035581,5.942044281679272,5.16202291074269,3.029803297459677,6.457169465082781,5.88,modeled_latent_ensemble
153,8.974547408131818,5.894898271419741,5.002602175661117,3.2254568918950657,6.3024952528922595,5.880000000000001,modeled_latent_ensemble
154,8.771617680302107,5.92667350843698,5.15204457797566,3.2086064038378974,6.341057829447356,5.880000000000001,modeled_latent_ensemble
155,8.80215230580152,6.00491053220041,5.082031531597912,3.2247970414794427,6.286108588920717,5.880000000000001,modeled_latent_ensemble
156,9.024141232050361,5.91621260717371,5.065878988124656,2.8819921389636503,6.511775033687623,5.880000000000001,modeled_latent_ensemble
157,8.850253131298471,6.012910945348727,5.074096444407913,3.13146692727792,6.33127255166697,5.880000000000001,modeled_latent_ensemble
158,8.919043009888348,5.95679875267209,4.922519741717609,3.3302591626436375,6.2713793330783165,5.880000000000001,modeled_latent_ensemble
